country,year,ctr_year,ctr_name,life_threat,physical_health,mental_health,rape,fetal_impairment,economic,request,index
11,1994,111994,Australia,1,1,1,1,1,1,1,
11,1995,111995,Australia,1,1,1,1,1,1,1,
11,1996,111996,Australia,1,1,1,1,1,1,1,
11,1997,111997,Australia,1,1,1,1,1,1,1,
11,1998,111998,Australia,1,1,1,1,1,1,1,
11,1999,111999,Australia,1,1,1,1,1,1,1,
11,2000,112000,Australia,1,1,1,1,1,1,1,
11,2001,112001,Australia,1,1,1,1,1,1,1,
11,2002,112002,Australia,1,1,1,1,1,1,1,
11,2003,112003,Australia,1,1,1,1,1,1,1,
11,2004,112004,Australia,1,1,1,1,1,1,1,
11,2005,112005,Australia,1,1,1,1,1,1,1,
11,2006,112006,Australia,1,1,1,1,1,1,1,
12,1960,121960,Austria,,,,,,,,
12,1961,121961,Austria,,,,,,,,
12,1962,121962,Austria,,,,,,,,
12,1963,121963,Austria,,,,,,,,
12,1964,121964,Austria,,,,,,,,
12,1965,121965,Austria,,,,,,,,
12,1966,121966,Austria,,,,,,,,
12,1967,121967,Austria,,,,,,,,
12,1968,121968,Austria,,,,,,,,
12,1969,121969,Austria,,,,,,,,
12,1970,121970,Austria,,,,,,,,
12,1971,121971,Austria,,,,,,,,
12,1972,121972,Austria,,,,,,,,
12,1973,121973,Austria,,,,,,,,
12,1974,121974,Austria,1,1,1,1,1,1,1,
12,1975,121975,Austria,1,1,1,1,1,1,1,
12,1976,121976,Austria,1,1,1,1,1,1,1,
12,1977,121977,Austria,1,1,1,1,1,1,1,
12,1978,121978,Austria,1,1,1,1,1,1,1,
12,1979,121979,Austria,1,1,1,1,1,1,1,
12,1980,121980,Austria,1,1,1,1,1,1,1,
12,1981,121981,Austria,1,1,1,1,1,1,1,
12,1982,121982,Austria,1,1,1,1,1,1,1,
12,1983,121983,Austria,1,1,1,1,1,1,1,
12,1984,121984,Austria,1,1,1,1,1,1,1,
12,1985,121985,Austria,1,1,1,1,1,1,1,
12,1986,121986,Austria,1,1,1,1,1,1,1,
12,1987,121987,Austria,1,1,1,1,1,1,1,
12,1988,121988,Austria,1,1,1,1,1,1,1,
12,1989,121989,Austria,1,1,1,1,1,1,1,
12,1990,121990,Austria,1,1,1,1,1,1,1,
12,1991,121991,Austria,1,1,1,1,1,1,1,
12,1992,121992,Austria,1,1,1,1,1,1,1,
12,1993,121993,Austria,1,1,1,1,1,1,1,
12,1994,121994,Austria,1,1,1,1,1,1,1,
12,1995,121995,Austria,1,1,1,1,1,1,1,
12,1996,121996,Austria,1,1,1,1,1,1,1,
12,1997,121997,Austria,1,1,1,1,1,1,1,
12,1998,121998,Austria,1,1,1,1,1,1,1,
12,1999,121999,Austria,1,1,1,1,1,1,1,
12,2000,122000,Austria,1,1,1,1,1,1,1,
12,2001,122001,Austria,1,1,1,1,1,1,1,
12,2002,122002,Austria,1,1,1,1,1,1,1,
12,2003,122003,Austria,1,1,1,1,1,1,1,
12,2004,122004,Austria,1,1,1,1,1,1,1,
12,2005,122005,Austria,1,1,1,1,1,1,1,
12,2006,122006,Austria,1,1,1,1,1,1,1,
13,1960,131960,Azerbaijan,1,1,1,1,1,1,1,
13,1961,131961,Azerbaijan,1,1,1,1,1,1,1,
13,1962,131962,Azerbaijan,1,1,1,1,1,1,1,
13,1963,131963,Azerbaijan,1,1,1,1,1,1,1,
13,1964,131964,Azerbaijan,1,1,1,1,1,1,1,
13,1965,131965,Azerbaijan,1,1,1,1,1,1,1,
13,1966,131966,Azerbaijan,1,1,1,1,1,1,1,
13,1967,131967,Azerbaijan,1,1,1,1,1,1,1,
13,1968,131968,Azerbaijan,1,1,1,1,1,1,1,
13,1969,131969,Azerbaijan,1,1,1,1,1,1,1,
13,1970,131970,Azerbaijan,1,1,1,1,1,1,1,
13,1971,131971,Azerbaijan,1,1,1,1,1,1,1,
13,1972,131972,Azerbaijan,1,1,1,1,1,1,1,
13,1973,131973,Azerbaijan,1,1,1,1,1,1,1,
13,1974,131974,Azerbaijan,1,1,1,1,1,1,1,
13,1975,131975,Azerbaijan,1,1,1,1,1,1,1,
13,1976,131976,Azerbaijan,1,1,1,1,1,1,1,
13,1977,131977,Azerbaijan,1,1,1,1,1,1,1,
13,1978,131978,Azerbaijan,1,1,1,1,1,1,1,
13,1979,131979,Azerbaijan,1,1,1,1,1,1,1,
13,1980,131980,Azerbaijan,1,1,1,1,1,1,1,
13,1981,131981,Azerbaijan,1,1,1,1,1,1,1,
13,1982,131982,Azerbaijan,1,1,1,1,1,1,1,
13,1983,131983,Azerbaijan,1,1,1,1,1,1,1,
13,1984,131984,Azerbaijan,1,1,1,1,1,1,1,
13,1985,131985,Azerbaijan,1,1,1,1,1,1,1,
13,1986,131986,Azerbaijan,1,1,1,1,1,1,1,
13,1987,131987,Azerbaijan,1,1,1,1,1,1,1,
13,1988,131988,Azerbaijan,1,1,1,1,1,1,1,
13,1989,131989,Azerbaijan,1,1,1,1,1,1,1,
13,1990,131990,Azerbaijan,1,1,1,1,1,1,1,
13,1991,131991,Azerbaijan,1,1,1,1,1,1,1,
13,1992,131992,Azerbaijan,1,1,1,1,1,1,1,
13,1993,131993,Azerbaijan,1,1,1,1,1,1,1,
13,1994,131994,Azerbaijan,1,1,1,1,1,1,1,
13,1995,131995,Azerbaijan,1,1,1,1,1,1,1,
13,1996,131996,Azerbaijan,1,1,1,1,1,1,1,
13,1997,131997,Azerbaijan,1,1,1,1,1,1,1,
13,1998,131998,Azerbaijan,1,1,1,1,1,1,1,
13,1999,131999,Azerbaijan,1,1,1,1,1,1,1,
13,2000,132000,Azerbaijan,1,1,1,1,1,1,1,
13,2001,132001,Azerbaijan,1,1,1,1,1,1,1,
13,2002,132002,Azerbaijan,1,1,1,1,1,1,1,
13,2003,132003,Azerbaijan,1,1,1,1,1,1,1,
13,2004,132004,Azerbaijan,1,1,1,1,1,1,1,
13,2005,132005,Azerbaijan,1,1,1,1,1,1,1,
13,2006,132006,Azerbaijan,1,1,1,1,1,1,1,
14,1960,141960,"Bahamas, The",1,1,1,0,0,0,0,
14,1961,141961,"Bahamas, The",1,1,1,0,0,0,0,
14,1962,141962,"Bahamas, The",1,1,1,0,0,0,0,
14,1963,141963,"Bahamas, The",1,1,1,0,0,0,0,
14,1964,141964,"Bahamas, The",1,1,1,0,0,0,0,
14,1965,141965,"Bahamas, The",1,1,1,0,0,0,0,
